date,kse,lreturns,bnk,ins,er,snp,lrkse,lrbnk,lrins,lrsnp,d7,d5,d3,dcity,dpunsindh,d50,casults,date1,provstate,city,nkill,nkillter,nwound,attacktype1,attacktype1_txt
"January 2, 2003",2710.54,0.016369875,0,0,60.718848,909.030029,0.016369875,,,,0,0,0,0,0,0,0,,,,,,,,
"January 3, 2003",2744.82,0.012567622,0,0,60.635253,908.590027,0.012567622,,,-0.000484152,0,0,0,0,0,0,0,,,,,,,,
"January 6, 2003",2765.56,0.007527647,0,0,60.619704,929.01001,0.007527647,,,0.022225537,0,0,0,0,0,0,0,,,,,,,,
"January 7, 2003",2779.97,0.00519699,0,0,60.728285,922.929993,0.00519699,,,-0.006566129,0,0,0,0,0,0,0,,,,,,,,
"January 8, 2003",2778.15,-0.000654898,0,0,60.659593,909.929993,-0.000654898,,,-0.014185719,0,0,0,0,0,0,0,,,,,,,,
"January 9, 2003",2829.84,0.018434934,0,0,60.659593,927.570007,0.018434934,,,0.019200605,0,0,0,0,0,0,0,,,,,,,,
"January 10, 2003",2869.23,0.013823528,0,0,60.659593,927.570007,0.013823528,,,0,0,0,0,0,0,0,0,,,,,,,,
"January 13, 2003",2853.75,-0.005409782,0,0,60.65302,926.26001,-0.005409782,,,-0.001413287,0,0,0,0,0,0,0,,,,,,,,
"January 14, 2003",2850.07,-0.001290363,0,0,60.67838,931.659973,-0.001290363,,,0.005812929,0,0,0,0,0,0,0,,,,,,,,
"January 15, 2003",2950.29,0.034559915,0,0,60.626839,918.219971,0.034559915,,,-0.014530931,0,0,0,0,0,0,0,,,,,,,,
"January 16, 2003",2955.52,0.001771138,0,0,60.649614,914.599976,0.001771138,,,-0.003950197,0,0,0,0,0,0,0,,,,,,,,
"January 17, 2003",2954.62,-0.000304561,0,0,60.720922,901.780029,-0.000304561,,,-0.014116165,0,0,0,0,0,0,0,,,,,,,,
"January 20, 2003",2920.62,-0.011574124,0,0,60.720922,,-0.011574124,,,,0,0,0,0,0,0,0,,,,,,,,
"January 21, 2003",2795.03,-0.043953083,0,0,60.720922,887.619995,-0.043953083,,,,0,0,0,0,0,0,0,,,,,,,,
"January 22, 2003",2739.11,-0.02020979,0,0,60.671185,878.359985,-0.02020979,,,-0.010487203,0,0,0,0,0,0,0,,,,,,,,
"January 23, 2003",2617.48,-0.045421027,0,0,60.695144,887.340027,-0.045421027,,,0.010171739,0,0,0,0,0,0,0,,,,,,,,
"January 24, 2003",2609.44,-0.003076384,0,0,60.64296,861.400024,-0.003076384,,,-0.029669253,0,0,0,0,0,0,0,,,,,,,,
"January 27, 2003",2746.85,0.051319162,0,0,60.718554,847.47998,0.051319162,,,-0.016291784,0,0,0,0,0,0,0,,,,,,,,
"January 28, 2003",2657.25,-0.033163047,0,0,60.718554,858.539978,-0.033163047,,,0.01296603,0,0,0,0,0,0,0,,,,,,,,
"January 29, 2003",2627.05,-0.01143021,0,0,60.718554,864.359985,-0.01143021,,,0.006756085,0,0,0,0,0,0,0,,,,,,,,
"January 30, 2003",2649.06,0.008343316,0,0,60.718554,844.609985,0.008343316,,,-0.023114367,0,0,0,0,0,0,0,,,,,,,,
"January 31, 2003",2545.07,-0.040046706,0,0,60.709329,855.700012,-0.040046706,,,0.013044897,0,0,0,0,0,0,0,,,,,,,,
"February 3, 2003",2471.48,-0.029340993,0,0,60.848428,860.320007,-0.029340993,,,0.00538456,0,0,0,0,0,0,0,,,,,,,,
"February 4, 2003",2476.95,0.002210803,0,0,60.83819,848.200012,0.002210803,,,-0.01418795,0,0,0,0,0,0,0,,,,,,,,
"February 6, 2003",2483.12,0.002487869,0,0,60.751755,838.150024,0.002487869,,,-0.01191936,0,0,0,0,0,0,0,,,,,,,,
"February 7, 2003",2481.43,-0.000680827,0,0,60.668747,829.690002,-0.000680827,,,-0.010144971,0,0,0,0,0,0,0,,,,,,,,
"February 10, 2003",2418.05,-0.025873577,0,0,60.668747,835.969971,-0.025873577,,,0.007540553,0,0,0,0,0,0,0,,,,,,,,
"February 17, 2003",2509.37,0.037070295,0,0,60.668747,,0.037070295,,,,0,0,0,0,0,0,0,,,,,,,,
"February 18, 2003",2547.13,0.01493551,0,0,60.693613,851.169983,0.01493551,,,,0,0,0,0,0,0,0,,,,,,,,
"February 19, 2003",2500.48,-0.018484522,0,0,60.711479,845.130005,-0.018484522,,,-0.007121386,0,0,0,0,0,0,0,,,,,,,,
"February 20, 2003",2509.08,0.003433439,0,0,60.703857,837.099976,0.003433439,,,-0.009546959,0,0,0,0,0,0,0,,,,,,,,
"February 21, 2003",2528.31,0.007634943,0,0,60.739797,848.169983,0.007634943,,,0.013137558,0,0,0,0,0,0,0,,,,,,,,
"February 24, 2003",2489.02,-0.015662037,0,0,60.699512,832.580017,-0.015662037,,,-0.018551734,0,0,0,0,0,0,0,,,,,,,,
"February 25, 2003",2428.37,-0.024668808,0,0,60.699512,838.570007,-0.024668808,,,0.007168735,0,0,0,0,0,0,0,,,,,,,,
"February 26, 2003",2397.15,-0.012939719,0,0,60.699512,827.549988,-0.012939719,,,-0.013228555,0,0,0,0,0,0,0,,,,,,,,
"February 27, 2003",2356.47,-0.017115795,0,0,60.657033,837.280029,-0.017115795,,,0.011689063,0,0,0,0,0,0,0,,,,,,,,
"February 28, 2003",2399.14,0.017945603,0,0,60.662832,841.150024,0.017945603,,,0.004611454,0,0,0,0,0,0,0,,,,,,,,
"March 3, 2003",2520.57,0.049374727,0,0,60.667053,834.809998,0.049374727,,,-0.00756588,0,0,0,0,0,0,0,,,,,,,,
"March 4, 2003",2447.02,-0.029614109,0,0,60.684678,821.98999,-0.029614109,,,-0.015475934,0,0,0,0,0,0,0,,,,,,,,
"March 5, 2003",2469.98,0.009339096,0,0,60.695703,829.849976,0.009339096,,,0.009516715,0,0,0,0,0,0,0,,,,,,,,
"March 6, 2003",2479.94,0.004024313,0,0,60.695703,822.099976,0.004024313,,,-0.00938292,0,0,0,0,0,0,0,,,,,,,,
"March 7, 2003",2448.65,-0.012697514,0,0,60.695703,828.890015,-0.012697514,,,0.008225461,0,0,0,0,0,0,0,,,,,,,,
"March 10, 2003",2451.91,0.00133046,0,0,60.729801,807.47998,0.00133046,,,-0.026169212,0,0,0,0,0,0,0,,,,,,,,
"March 11, 2003",2482.01,0.012201403,0,0,60.729801,800.72998,0.012201403,,,-0.008394476,0,0,0,0,0,0,0,,,,,,,,
"March 12, 2003",2540.25,0.023193786,0,0,60.636617,804.190002,0.023193786,,,0.004311776,0,0,0,0,0,0,0,,,,,,,,
"March 17, 2003",2485.88,-0.02163578,0,0,60.624585,862.789978,-0.02163578,,,0.070335737,0,0,0,0,0,0,0,,,,,,,,
"March 18, 2003",2525.78,0.015923204,0,0,60.585396,866.450012,0.015923204,,,0.004233119,0,0,0,0,0,0,0,,,,,,,,
"March 19, 2003",2506.21,-0.007778274,0,0,60.585396,874.02002,-0.007778274,,,0.008698864,0,0,0,0,0,0,0,,,,,,,,
"March 20, 2003",2590.38,0.033032931,0,0,60.585396,875.669983,0.033032931,,,0.001886007,0,0,0,0,0,0,0,,,,,,,,
"March 21, 2003",2651.7,0.023396361,0,0,60.607252,895.789978,0.023396361,,,0.022716698,0,0,0,0,0,0,0,,,,,,,,
"March 24, 2003",2634.26,-0.006598636,0,0,60.596976,864.22998,-0.006598636,,,-0.035867072,0,0,0,0,0,0,0,,,,,,,,
"March 25, 2003",2633.43,-0.000315129,0,0,60.609913,874.73999,-0.000315129,,,0.012087774,0,0,0,0,0,0,0,,,,,,,,
"March 26, 2003",2695.12,0.023155551,0,0,60.57519,869.950012,0.023155551,,,-0.005490935,0,0,0,0,0,0,0,,,,,,,,
"March 27, 2003",2719.18,0.008887634,0,0,60.5208,868.52002,0.008887634,,,-0.001645116,0,0,0,0,0,0,0,,,,,,,,
"March 28, 2003",2744.17,0.009148297,0,0,60.5208,863.5,0.009148297,,,-0.005796739,0,0,0,0,0,0,0,,,,,,,,
"March 31, 2003",2715.71,-0.010425232,0,0,60.5208,848.179993,-0.010425232,,,-0.017901028,0,0,0,0,0,0,0,,,,,,,,
"April 1, 2003",2706.15,-0.003526469,0,0,60.584081,858.47998,-0.003526469,,,0.012070491,0,0,0,0,0,0,0,,,,,,,,
"April 2, 2003",2754.01,0.017531071,0,0,60.757147,880.900024,0.017531071,,,0.025780779,0,0,0,0,0,0,0,,,,,,,,
"April 3, 2003",2753.46,-0.000199729,0,0,60.689823,876.450012,-0.000199729,,,-0.005064468,0,0,0,0,0,0,0,,,,,,,,
"April 4, 2003",2778.62,0.009096099,0,0,60.812191,878.849976,0.009096099,,,0.002734536,0,0,0,0,0,0,0,,,,,,,,
"April 7, 2003",2823.12,0.015888255,0,0,60.815007,879.929993,0.015888255,,,0.001228144,0,0,0,0,0,0,0,,,,,,,,
"April 8, 2003",2852.85,0.010475838,0,0,60.815007,878.289978,0.010475838,,,-0.001865541,0,0,0,0,0,0,0,,,,,,,,
