code,country,year,region,FD,FI,FM,FID,FIA,FIE,FMD,FMA,FME
EG,"Egypt, Arab Rep.",2001,Middle East & North Africa,0.2281571,0.2690802,0.1845669,0.1567825,0.0576502,0.6760788,0.0991686,0.3118355,0.1443029
EG,"Egypt, Arab Rep.",2002,Middle East & North Africa,0.2218233,0.2689889,0.1720647,0.1584057,0.0585431,0.6718484,0.111315,0.3023563,0.0996715
EG,"Egypt, Arab Rep.",2003,Middle East & North Africa,0.230098,0.2668366,0.1906696,0.1600582,0.058774,0.6608945,0.1217054,0.3268632,0.1211625
EG,"Egypt, Arab Rep.",2004,Middle East & North Africa,0.2601773,0.2661522,0.251161,0.1638151,0.0562007,0.6565869,0.2006521,0.3779229,0.1680408
EG,"Egypt, Arab Rep.",2005,Middle East & North Africa,0.3494373,0.2612874,0.4335023,0.1606225,0.0600823,0.6372143,0.4439176,0.4204751,0.4222224
EG,"Egypt, Arab Rep.",2006,Middle East & North Africa,0.3687443,0.262633,0.4705451,0.1541682,0.067133,0.6411373,0.4723451,0.3918374,0.5386773
EG,"Egypt, Arab Rep.",2007,Middle East & North Africa,0.3608289,0.2600938,0.4573461,0.1454623,0.0757661,0.6315056,0.5117037,0.3929473,0.4481574
EG,"Egypt, Arab Rep.",2008,Middle East & North Africa,0.3542129,0.2703671,0.433918,0.1392523,0.0841499,0.6663808,0.3276184,0.3773585,0.6077815
EG,"Egypt, Arab Rep.",2009,Middle East & North Africa,0.3369066,0.27747,0.3924048,0.1231142,0.0920925,0.7053284,0.2915317,0.3085568,0.5902565
EG,"Egypt, Arab Rep.",2010,Middle East & North Africa,0.3019513,0.2704388,0.3299341,0.1143884,0.0975383,0.6839001,0.2271505,0.3479356,0.4229225
EG,"Egypt, Arab Rep.",2011,Middle East & North Africa,0.277691,0.2778274,0.2743085,0.1071503,0.1009697,0.7173021,0.1423523,0.3615597,0.3294817
EG,"Egypt, Arab Rep.",2012,Middle East & North Africa,0.2885621,0.2802374,0.2935137,0.1021836,0.1063069,0.7256038,0.1467346,0.3754897,0.3713611
EG,"Egypt, Arab Rep.",2013,Middle East & North Africa,0.2875539,0.2738445,0.2979019,0.0910651,0.1096568,0.7135167,0.1443709,0.391349,0.3713611
EG,"Egypt, Arab Rep.",2014,Middle East & North Africa,0.2904142,0.2797019,0.2977317,0.0908788,0.1156952,0.7262813,0.1439081,0.391349,0.3713611
BD,Bangladesh,2001,South Asia,0.2108021,0.2209648,0.1981752,0.0805371,0.074298,0.5870774,0.011523,0.000951,0.6249485
BD,Bangladesh,2002,South Asia,0.1998415,0.219548,0.1777989,0.0884687,0.0771282,0.5651675,0.0112209,0.0009037,0.5595895
BD,Bangladesh,2003,South Asia,0.1527576,0.2289276,0.0748019,0.0903732,0.0749691,0.6007218,0.0101258,0.0009264,0.2284236
BD,Bangladesh,2004,South Asia,0.1610888,0.2025702,0.1177242,0.0967571,0.0758654,0.4908744,0.0206338,0.0011214,0.3542786
BD,Bangladesh,2005,South Asia,0.1738193,0.2431264,0.1024804,0.1023619,0.075775,0.6341869,0.0170544,0.0009575,0.3095015
BD,Bangladesh,2006,South Asia,0.1505018,0.2047308,0.0945135,0.0978933,0.0768688,0.4956461,0.0212045,0.0009791,0.2788363
BD,Bangladesh,2007,South Asia,0.2533825,0.2031614,0.3006417,0.1010833,0.0780473,0.4830306,0.0525447,0.0010668,0.9068497
BD,Bangladesh,2008,South Asia,0.2885404,0.2425454,0.3311625,0.1075029,0.0802242,0.6171597,0.0570767,0.0010484,1
BD,Bangladesh,2009,South Asia,0.2967465,0.2523384,0.3376857,0.1134237,0.084686,0.6377391,0.0744238,0.0014774,1
BD,Bangladesh,2010,South Asia,0.3054664,0.2592539,0.3481081,0.1277155,0.0914361,0.6311153,0.1024427,0.0018266,1
BD,Bangladesh,2011,South Asia,0.301787,0.2765407,0.3235055,0.1292986,0.1014591,0.6777058,0.111651,0.0018266,0.9096577
BD,Bangladesh,2012,South Asia,0.2401469,0.2659823,0.2115043,0.1275786,0.1140644,0.6211222,0.0670337,0.0018266,0.6011266
BD,Bangladesh,2013,South Asia,0.2504609,0.286293,0.2117009,0.1218565,0.1183099,0.6992834,0.067568,0.0018266,0.6011266
BD,Bangladesh,2014,South Asia,0.250796,0.2867696,0.2118908,0.1185862,0.1356973,0.6789005,0.0680843,0.0018266,0.6011266
BT,Bhutan,2001,South Asia,0.145415,0.2653345,0.0237956,0.0206248,0.1563727,0.7168025,0.0646893,0,0
BT,Bhutan,2002,South Asia,0.1463598,0.2672131,0.0237956,0.0261296,0.1657147,0.7007706,0.0646893,0,0
BT,Bhutan,2003,South Asia,0.1427123,0.2599607,0.0237956,0.0283933,0.1580766,0.6820958,0.0646893,0,0
BT,Bhutan,2004,South Asia,0.1427132,0.2599626,0.0237956,0.034743,0.1590209,0.6708742,0.0646893,0,0
BT,Bhutan,2005,South Asia,0.1427141,0.2599644,0.0237956,0.0427823,0.1521545,0.669271,0.0646893,0,0
BT,Bhutan,2006,South Asia,0.1427452,0.2600261,0.0237956,0.0458225,0.1463643,0.6738869,0.0646893,0,0
BT,Bhutan,2007,South Asia,0.146424,0.2673407,0.0237956,0.055952,0.1501116,0.6798447,0.0646893,0,0
