id,code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
1,BGD,bankaccntadult,,,,,247.63737,254.51064,259.10687,263.79746,269.3195,271.22783,324.77638,464.12971,532.39756,576.37304,591.52191
1,BGD,bankbradult,,,,,6.9014574,6.8607032,6.8929478,6.9307259,6.9823196,7.1941119,7.4443211,7.6511158,7.8482782,8.0150925,8.2070648
1,BGD,bankcapass,3.5,3.5,4.1,3.2,4.3,,,,,,,6.9,5.4,6,5.9
1,BGD,bankconc,88.27323,87.74014,86.24752,83.61477,77.87678,76.7161,74.14833,74.2261,72.00446,59.84905,50.02497,46.96002,38.40942,25.68837,70.22743
1,BGD,creditdeposit,83.48967,72.34818,66.26991,65.11426,64.91859,66.59486,67.97569,69.58618,72.10354,79.53025,88.38969,90.1395,88.24932,84.90575,82.79073
1,BGD,nim,1.08276,1.066863,0.8761141,1.902678,1.832726,1.941429,1.442379,1.801991,1.938457,4.592155,4.425949,3.892183,4.352943,4.344637,1.397614
1,BGD,nplgl,34.9,31.5,28.1,22.1,17.5,,,,,,,5.8,9.7,8.6,9.4
1,BGD,boc,1.693748,1.612067,1.66674,1.771033,1.834342,1.906142,4.310857,3.79643,2.282293,2.80973,2.684931,2.204975,2.571091,2.727015,0.7396895
1,BGD,broaatax,-0.4385866,-0.2540792,-0.2718129,0.2597291,0.4313827,0.3970267,-5.174706,-2.258411,0.9673408,1.46331,1.841789,1.797597,-0.6030637,1.371742,0.4854632
1,BGD,broabtax,-0.323591,-0.103498,-0.0852477,0.5298772,0.696247,0.757412,-5.499919,-1.834354,1.527687,2.283948,2.934783,2.926897,0.2207286,2.236325,0.8710393
1,BGD,broeatax,-14.25628,-8.984094,-10.22718,9.1348,13.19586,11.52412,18.05555,-55.98445,17.75687,21.63782,22.84812,20.30832,-7.484231,16.97505,5.477153
1,BGD,broebtax,-10.51834,-3.659631,-3.207515,18.63604,21.29798,21.98468,33.06248,6.82822,28.04279,33.77251,36.40715,33.06657,2.739319,27.67411,9.827347
1,BGD,zscore,1.540457,1.455935,1.432124,1.989901,2.350528,2.303772,-3.996186,1.764608,4.008294,5.471721,6.169128,6.66816,3.956364,6.104601,6.034949
1,BGD,cbassgdp,3.520838,4.371687,4.609779,3.547345,2.984512,3.901535,4.89426,5.059316,4.284569,3.662173,3.025403,3.658108,3.816189,2.680632,1.527499
1,BGD,creditd,21.7794,24.1796,26.2081,26.0386,27.9134,29.3438,31.1657,32.0428,34.0422,36.191,40.9613,42.4702,43.0007,41.7948,42.3522
1,BGD,fbassets,,,,,2,2,3,2,2,3,,,,3,
1,BGD,fbanks,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
1,BGD,gdp,53000000000,54000000000,55000000000,60000000000,65000000000,69000000000,72000000000,80000000000,92000000000,1.00E+11,1.20E+11,1.30E+11,1.30E+11,1.50E+11,1.70E+11
1,BGD,gdppc,412.854,425.724,434.085,446.878,462.801,485.853,511.437,540.988,567.101,589.141,614.948,647.067,681.044,713.27,747.371
1,BGD,insuranceass,1.37882,1.48277,1.57386,,,1.79152,1.84153,2.09596,2.26195,2.46351,2.65884,2.82137,,,
1,BGD,lerner,0.150924,0.1485808,0.1867167,0.2897967,0.3502577,0.3981436,0.3067882,0.2861448,0.4035525,0.4270829,0.4961825,0.4438273,0.3653965,0.3488142,0.4984506
1,BGD,llgdp,31.48457,39.03335,46.05367,47.75283,49.68307,51.7446,47.07963,48.33042,48.72464,50.15573,52.62086,55.96902,56.1946,57.54024,58.78157
1,BGD,macap,3.415329,2.786522,14.14502,2.667627,4.304808,4.627028,4.813034,7.766895,11.29513,15.67513,26.30292,34.32554,14.45791,,
2,BTN,bankaccntadult,,,,,,,,,,,,,,,
2,BTN,bankbradult,,,,,14.362815,13.742631,13.219659,12.77518,12.80969,12.857695,14.297884,16.246797,12.449307,16.040976,15.509132
2,BTN,bankcapass,,,,,,,,,,9.4,9.3,14.6,17,17.5,16.6
2,BTN,bankconc,,,,,,,,,,,100,100,100,100,
2,BTN,creditdeposit,20.02984,22.16382,24.70998,28.91584,34.1157,37.95117,44.5768,53.35665,64.2287,57.75344,57.71459,74.09067,84.71341,87.0687,81.58877
2,BTN,nim,2.156324,3.415482,2.164602,2.871424,3.156779,3.195545,3.735832,5.117129,4.922748,5.971971,5.317675,5.907051,6.394288,5.198234,
2,BTN,nplgl,,,,,,,,,,6.8,5.2,3.9,5.4,7,6.8
2,BTN,boc,1.504787,1.06672,0.9068738,0.9424166,1.001459,1.011272,1.232097,1.317739,1.109328,1.180088,1.1547,0.9728907,1.325651,1.449442,
2,BTN,broaatax,1.63451,1.897238,1.165035,1.326586,1.33167,1.339127,1.589934,1.593802,1.277732,1.700986,1.36448,2.096403,2.435801,1.855108,
2,BTN,broabtax,1.954494,2.712517,1.661499,1.884833,1.894653,1.897866,2.269011,2.274757,1.852444,2.436236,1.979225,2.880248,3.470854,2.673842,
2,BTN,broeatax,25.03563,27.55465,16.62005,16.36555,14.80579,15.67524,19.94403,20.48545,16.71747,23.69087,19.74534,23.6378,18.64601,12.30507,
2,BTN,broebtax,29.93678,39.3954,23.70246,23.25241,21.06516,22.2156,28.46232,29.23789,24.23683,33.93124,28.6413,32.47598,26.56931,17.73581,
2,BTN,zscore,23.45001,26.51412,23.03442,30.70292,29.16366,28.02095,26.77616,27.37584,25.15764,25.18501,23.71497,39.14191,49.2268,50.57706,
2,BTN,cbassgdp,,0.0039026,0.2501425,0.3002412,0.1573661,0.2012913,0.1327594,0.0227069,0.028026,0.0296495,0.0283656,0.0264167,0.934598,1.06415,0.0132818
2,BTN,creditd,8.85448,9.7816,11.1091,12.984,15.8151,18.0699,21.4097,23.4209,29.9614,32.4225,41.4525,46.8118,45.7181,45.6378,43.8174
2,BTN,fbassets,,,,,,,,,,,,,,,
2,BTN,fbanks,,,,,,,,,,,,,,,
2,BTN,gdp,440000000,480000000,540000000,620000000,700000000,820000000,900000000,1200000000,1300000000,1300000000,1600000000,1800000000,1800000000,1800000000,2000000000
2,BTN,gdppc,991.878,1042.58,1120.4,1170.95,1205.27,1257.55,1311.94,1514.08,1555.42,1628.87,1788.58,1898.09,1963.61,1976.64,2056.28
2,BTN,insuranceass,,,,,,,,,,,,,,,
2,BTN,lerner,,,,,,,,,,,,,,,
2,BTN,llgdp,47.49057,43.48087,47.21671,44.20063,51.64455,51.7337,46.5129,47.46122,58.56763,69.72005,69.05103,63.51152,55.75486,60.96711,56.3002
2,BTN,macap,,,,,,,,,,,,,,,
3,EGY,bankaccntadult,,,,,,,,,,,,368.1934,381.8268,389.1053,373.73626
