provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1_txt,weaptype1_txt,weapsubtype1_txt
Sindh,Karachi,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Polish Govt,Polish Deputy Foreign Minister,Poland,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",.
Sindh,Karachi,Bombing/Explosion,Maritime,58,Commercial Maritime,,Greek Freighter in Karachi,Greece,Firearms,Automatic Weapon
North-West Frontier Province,Peshawar,Bombing/Explosion,Government (Diplomatic),46,Embassy/Consulate,,USIS Center,United States,Explosives/Bombs/Dynamite,Unknown Explosive Type
Punjab,Rawalpindi,Bombing/Explosion,Airports & Aircraft,42,Aircraft (not at an airport),,Pakistan Airlines Boeing 707,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshawar,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Pakistan Govt,"Hayat Mohammed Khan Sherpao, home minister",Pakistan,Firearms,Handgun
Punjab,Rawalpindi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Syrian Airlines office,Syria,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Facility/Infrastructure Attack,Airports & Aircraft,43,Airline Officer/Personnel,,Syrian Arab Airlines office,Syria,Incendiary,.
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Government (Diplomatic),46,Embassy/Consulate,,Syrian Embassy,Syria,Firearms,Automatic Weapon
Sindh,Karachi,Armed Assault,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",,Iraq Consulate General,Iraq,Firearms,Automatic Weapon
Islamabad Capital Territory,Islamabad,Bombing/Explosion,Terrorists/Non-State Militia,93,Terrorist,,Palestine Liberation Org. office,West Bank and Gaza Strip,Firearms,Automatic Weapon
North-West Frontier Province,Peshwar,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,,village,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
North-West Frontier Province,Peshwar,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,,US Aid office,United States,Explosives/Bombs/Dynamite,Unknown Explosive Type
Islamabad Capital Territory,Islamabad,Unarmed Assault,Government (Diplomatic),46,Embassy/Consulate,,Embassy card,France,Melee,Unknown Weapon Type
Punjab,Rawalpindi,Assassination,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Pakistan National Alliance,"Maulana Mufti Mahmud, party leader",Pakistan,Melee,Knife or Other Sharp Object
Punjab,Rawalpindi,Facility/Infrastructure Attack,Private Citizens & Property,,.,,British Council Library,Great Britain,Incendiary,.
Punjab,Rawalpindi,Facility/Infrastructure Attack,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,,U.S. Cultural Center,United States,Incendiary,.
Punjab,Rawalpindi,Facility/Infrastructure Attack,Business,3,Bank/Commerce,,American Express Travel Agency,United States,Incendiary,.
North-West Frontier Province,Peshawar,Bombing/Explosion,Police,22,"Police Building (headquarters, station, school)",,Police station,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Assassination,Religious Figures/Institutions,85,Religious Figure,Roman Catholic Church,"Pope John Paul, pope",Poland,Unknown,.
Sindh,Karachi,Hijacking,Airports & Aircraft,42,Aircraft (not at an airport),Pakistani Airlines (Boeing 720),,Pakistan,Firearms,Handgun
Sindh,Karachi,Facility/Infrastructure Attack,Government (Diplomatic),46,Embassy/Consulate,,Consulate Library,Libya,Incendiary,Arson/Fire
Punjab,Lahore,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Pakistan govt,Chaudly Yahur Elahi and unk (former minister and drived of vehicle),Pakistan,Firearms,Unknown Gun Type
Punjab,Lahore,Bombing/Explosion,Airports & Aircraft,44,Airport,,Lahore Airport,Pakistan,Explosives/Bombs/Dynamite,Vehicle
Sindh,Karachi,Bombing/Explosion,Airports & Aircraft,43,Airline Officer/Personnel,,Pakistan International Airlines employee's bus,Pakistan,Explosives/Bombs/Dynamite,Unknown Explosive Type
Sindh,Karachi,Assassination,Government (General),18,"Government Personnel (excluding police, military)",Pakistanis Military Government,"Zahoorul Hasan Bhopali, 37, Member of Civilian Advisory Council",Pakistan,Firearms,Automatic Weapon
Sindh,Karachi,Assassination,Government (Diplomatic),45,"Diplomatic Personnel (outside of embassy, consulate)",Kuwait Consulate in Karachi,Acting Consulate General,Kuwait,Firearms,Unknown Gun Type
