"","in.gdp.fc.const.sa"
"1",4639647.27925857
"2",4691138.657421
"3",4782251.77725837
"4",4808100.31408775
"5",4800143.93557468
"6",4825064.45088463
"7",4966169.57648495
"8",5051251.79119824
"9",5123963.25278928
"10",5207405.80049075
"11",5270501.16614909
"12",5370917.65330641
"13",5479248.6426302
"14",5494544.45489267
"15",5611677.27423614
"16",5737520.16481285
"17",5752942.73167918
"18",5816533.79388963
"19",5874620.88338731
"20",5868127.14968332
"21",6007613.2399185
"22",6073884.6709941
"23",6115757.54078441
"24",6207165.61943018
"25",6287308.26145632
"26",6344703.65726132
"27",6422000.90100249
"28",6516452.6288496
"29",6642213.38386157
"30",6787739.30631624
"31",6918097.13099855
"32",7056703.54495223
"33",7190803.78297834
"34",7330978.40993363
"35",7471144.62788778
"36",7639723.47160313
"37",7855924.91642133
"38",8034080.91387479
"39",8213342.40514348
"40",8407224.37360922
"41",8576284.20451564
"42",8793665.81538624
"43",9007626.03047291
"44",9244622.30030892
"45",9394598.50999695
"46",9598698.75643191
"47",9900656.67845739
"48",10054576.826743
"49",10298002.6173952
"50",10371438.3225388
"51",10518414.4558475
"52",10760788.9344769
"53",11028979.3293523
"54",11330734.1942093
"55",11385816.5382946
"56",11581913.2762133
"57",11904914.3805784
"58",12182640.2123638
"59",12394659.5064824
"60",12655005.9529774
"61",12838553.873899
"62",13014557.565916
"63",13213521.937
"64",13368441.2208722
"65",13432676.9002497
"66",13602097.0744815
"67",13796248.502986
"68",13958489.4630846
"69",14066665.5177601
"70",14291731.8874832
"71",14428368.2302368
"72",14610472.0590493
"73",14863510.2866639
"74",15047184.1807338
